{   1,   -4,   -3}  {NAN, NAN, NO_ROOTS } 
{   4,    2,    9}  {NAN, NAN, NO_ROOTS } 
{  -9,   -4,   -9}  {NAN, NAN, NO_ROOTS } 
{   0,    5,    5}  {NAN, NAN, NO_ROOTS } 
{  -2,   -7,   -8}  {NAN, NAN, NO_ROOTS } 
{  -5,    0,    0}  {NAN, NAN, NO_ROOTS } 
{   3,    9,    0}  {NAN, NAN, NO_ROOTS } 
{  -6,   -7,   -8}  {NAN, NAN, NO_ROOTS } 
{   7,    9,    3}  {NAN, NAN, NO_ROOTS } 
{  -7,    6,   -5}  {NAN, NAN, NO_ROOTS } 
{   5,   -2,   -2}  {NAN, NAN, NO_ROOTS } 
{   5,    3,    2}  {NAN, NAN, NO_ROOTS } 
{  -9,    2,   -6}  {NAN, NAN, NO_ROOTS } 
{  -2,    0,    1}  {NAN, NAN, NO_ROOTS } 
{   4,    1,    4}  {NAN, NAN, NO_ROOTS } 
{  -8,    3,   -6}  {NAN, NAN, NO_ROOTS } 
{  -1,    0,   -5}  {NAN, NAN, NO_ROOTS } 
{   5,   -1,    2}  {NAN, NAN, NO_ROOTS } 
{   8,   -2,   -2}  {NAN, NAN, NO_ROOTS } 
{   5,    8,    1}  {NAN, NAN, NO_ROOTS } 
{   3,   -5,    9}  {NAN, NAN, NO_ROOTS } 
{  -8,    2,    6}  {NAN, NAN, NO_ROOTS } 
{  -1,   -4,   -1}  {NAN, NAN, NO_ROOTS } 
{  -4,    7,   -4}  {NAN, NAN, NO_ROOTS } 
{  -6,    5,   -5}  {NAN, NAN, NO_ROOTS } 
{  -7,    6,   -8}  {NAN, NAN, NO_ROOTS } 
{   8,    8,    0}  {NAN, NAN, NO_ROOTS } 
{  -7,   -1,    5}  {NAN, NAN, NO_ROOTS } 
{   3,   -3,   -6}  {NAN, NAN, NO_ROOTS } 
{   9,    0,    2}  {NAN, NAN, NO_ROOTS } 
{   2,   -9,   -8}  {NAN, NAN, NO_ROOTS } 
{  -2,    5,    5}  {NAN, NAN, NO_ROOTS } 
{  -2,    3,    6}  {NAN, NAN, NO_ROOTS } 
{   0,    5,    9}  {NAN, NAN, NO_ROOTS } 
{   9,   -9,    9}  {NAN, NAN, NO_ROOTS } 
{  -7,   -5,   -3}  {NAN, NAN, NO_ROOTS } 
{   0,    0,    5}  {NAN, NAN, NO_ROOTS } 
{  -1,   -5,    6}  {NAN, NAN, NO_ROOTS } 
{  -4,    5,    0}  {NAN, NAN, NO_ROOTS } 
{   0,    5,   -2}  {NAN, NAN, NO_ROOTS } 
{   0,   -4,   -2}  {NAN, NAN, NO_ROOTS } 
{  -7,   -6,   -6}  {NAN, NAN, NO_ROOTS } 
{   1,    2,   -6}  {NAN, NAN, NO_ROOTS } 
{   0,    2,   -9}  {NAN, NAN, NO_ROOTS } 
{  -9,    2,   -7}  {NAN, NAN, NO_ROOTS } 
{   6,    6,    1}  {NAN, NAN, NO_ROOTS } 
{   7,    1,   -5}  {NAN, NAN, NO_ROOTS } 
{  -2,    7,   -4}  {NAN, NAN, NO_ROOTS } 
{  -4,   -5,    1}  {NAN, NAN, NO_ROOTS } 
{   8,   -4,   -7}  {NAN, NAN, NO_ROOTS } 
{   0,    9,    2}  {NAN, NAN, NO_ROOTS } 
{  -9,   -3,    2}  {NAN, NAN, NO_ROOTS } 
{  -7,    5,    0}  {NAN, NAN, NO_ROOTS } 
{  -3,    1,   -5}  {NAN, NAN, NO_ROOTS } 
{   1,    3,   -3}  {NAN, NAN, NO_ROOTS } 
{  -7,    7,   -3}  {NAN, NAN, NO_ROOTS } 
{   1,    7,   -4}  {NAN, NAN, NO_ROOTS } 
{  -4,   -4,   -6}  {NAN, NAN, NO_ROOTS } 
{   4,    7,    0}  {NAN, NAN, NO_ROOTS } 
{   8,    4,    9}  {NAN, NAN, NO_ROOTS } 
{  -5,   -5,   -1}  {NAN, NAN, NO_ROOTS } 
{  -8,    4,   -5}  {NAN, NAN, NO_ROOTS } 
{   5,    1,    9}  {NAN, NAN, NO_ROOTS } 
{  -9,    8,    8}  {NAN, NAN, NO_ROOTS } 
{   2,   -3,   -8}  {NAN, NAN, NO_ROOTS } 
{   2,    8,   -3}  {NAN, NAN, NO_ROOTS } 
{  -3,   -9,   -4}  {NAN, NAN, NO_ROOTS } 
{  -2,   -2,   -5}  {NAN, NAN, NO_ROOTS } 
{  -5,    5,   -2}  {NAN, NAN, NO_ROOTS } 
{   1,    8,    0}  {NAN, NAN, NO_ROOTS } 
{  -1,    4,   -9}  {NAN, NAN, NO_ROOTS } 
{  -2,   -5,    0}  {NAN, NAN, NO_ROOTS } 
{   1,   -6,    0}  {NAN, NAN, NO_ROOTS } 
{   6,    2,    2}  {NAN, NAN, NO_ROOTS } 
{   9,    4,    7}  {NAN, NAN, NO_ROOTS } 
{  -2,   -2,   -8}  {NAN, NAN, NO_ROOTS } 
{   1,    7,   -4}  {NAN, NAN, NO_ROOTS } 
{  -1,   -4,   -5}  {NAN, NAN, NO_ROOTS } 
{   6,    2,   -1}  {NAN, NAN, NO_ROOTS } 
{   6,    0,    5}  {NAN, NAN, NO_ROOTS } 
{  -8,   -4,   -6}  {NAN, NAN, NO_ROOTS } 
{  -3,    3,    8}  {NAN, NAN, NO_ROOTS } 
{  -2,   -6,    9}  {NAN, NAN, NO_ROOTS } 
{  -7,   -9,    5}  {NAN, NAN, NO_ROOTS } 
{   0,   -7,   -9}  {NAN, NAN, NO_ROOTS } 
{   0,    0,    7}  {NAN, NAN, NO_ROOTS } 
{   0,    9,    4}  {NAN, NAN, NO_ROOTS } 
{  -9,   -5,    9}  {NAN, NAN, NO_ROOTS } 
{   6,   -8,   -6}  {NAN, NAN, NO_ROOTS } 
{  -8,   -8,    3}  {NAN, NAN, NO_ROOTS } 
{   1,   -7,    9}  {NAN, NAN, NO_ROOTS } 
{  -2,   -8,   -5}  {NAN, NAN, NO_ROOTS } 
{   1,   -9,    0}  {NAN, NAN, NO_ROOTS } 
{  -8,    0,   -6}  {NAN, NAN, NO_ROOTS } 
{   6,   -7,    5}  {NAN, NAN, NO_ROOTS } 
{  -8,    0,    8}  {NAN, NAN, NO_ROOTS } 
{   0,    5,    1}  {NAN, NAN, NO_ROOTS } 
{   7,   -3,   -1}  {NAN, NAN, NO_ROOTS } 
{   2,    1,   -8}  {NAN, NAN, NO_ROOTS } 
{  -7,    0,    6}  {NAN, NAN, NO_ROOTS } 
{  -4,    5,    0}  {NAN, NAN, NO_ROOTS } 
{  -1,   -9,   -1}  {NAN, NAN, NO_ROOTS } 
{   6,   -7,    6}  {NAN, NAN, NO_ROOTS } 
{   9,    9,   -6}  {NAN, NAN, NO_ROOTS } 
{  -4,   -6,    8}  {NAN, NAN, NO_ROOTS } 
{   5,    2,   -8}  {NAN, NAN, NO_ROOTS } 
{  -8,    0,    0}  {NAN, NAN, NO_ROOTS } 
{  -3,    2,   -1}  {NAN, NAN, NO_ROOTS } 
{  -3,    2,   -9}  {NAN, NAN, NO_ROOTS } 
{   7,    0,    1}  {NAN, NAN, NO_ROOTS } 
{   1,   -8,   -3}  {NAN, NAN, NO_ROOTS } 
{   4,   -2,    4}  {NAN, NAN, NO_ROOTS } 
{  -6,    1,    0}  {NAN, NAN, NO_ROOTS } 
{  -7,   -8,    0}  {NAN, NAN, NO_ROOTS } 
{   3,    5,    9}  {NAN, NAN, NO_ROOTS } 
{  -1,    2,    1}  {NAN, NAN, NO_ROOTS } 
{  -1,   -2,    8}  {NAN, NAN, NO_ROOTS } 
{   3,    0,    8}  {NAN, NAN, NO_ROOTS } 
{  -2,   -3,    7}  {NAN, NAN, NO_ROOTS } 
{  -1,   -7,   -2}  {NAN, NAN, NO_ROOTS } 
{  -5,   -7,    2}  {NAN, NAN, NO_ROOTS } 
{  -2,   -1,    8}  {NAN, NAN, NO_ROOTS } 
{   8,   -6,    4}  {NAN, NAN, NO_ROOTS } 
{   0,    5,   -1}  {NAN, NAN, NO_ROOTS } 
{  -9,   -5,    6}  {NAN, NAN, NO_ROOTS } 
{  -9,   -7,    9}  {NAN, NAN, NO_ROOTS } 
{  -6,    9,   -1}  {NAN, NAN, NO_ROOTS } 
{   8,    7,   -4}  {NAN, NAN, NO_ROOTS } 
{   2,   -3,   -7}  {NAN, NAN, NO_ROOTS } 
{  -3,   -9,    4}  {NAN, NAN, NO_ROOTS } 
{  -7,   -1,    6}  {NAN, NAN, NO_ROOTS } 
{   3,   -9,   -4}  {NAN, NAN, NO_ROOTS } 
{   4,    2,   -5}  {NAN, NAN, NO_ROOTS } 
{   8,   -3,   -1}  {NAN, NAN, NO_ROOTS } 
{  -6,   -2,    5}  {NAN, NAN, NO_ROOTS } 
{   4,    1,   -7}  {NAN, NAN, NO_ROOTS } 
{   9,    4,   -2}  {NAN, NAN, NO_ROOTS } 
{  -8,   -9,    6}  {NAN, NAN, NO_ROOTS } 
{  -5,    7,   -7}  {NAN, NAN, NO_ROOTS } 
{   1,    7,    2}  {NAN, NAN, NO_ROOTS } 
{  -5,   -5,   -5}  {NAN, NAN, NO_ROOTS } 
{   6,   -5,   -5}  {NAN, NAN, NO_ROOTS } 
{   4,    5,    5}  {NAN, NAN, NO_ROOTS } 
{   3,   -7,    9}  {NAN, NAN, NO_ROOTS } 
{  -9,    7,   -5}  {NAN, NAN, NO_ROOTS } 
{  -3,    2,   -1}  {NAN, NAN, NO_ROOTS } 
{   0,   -2,   -1}  {NAN, NAN, NO_ROOTS } 
{   0,    2,    7}  {NAN, NAN, NO_ROOTS } 
{  -1,   -5,    0}  {NAN, NAN, NO_ROOTS } 
{  -7,   -7,    0}  {NAN, NAN, NO_ROOTS } 
{  -5,    9,    0}  {NAN, NAN, NO_ROOTS } 
{  -3,   -9,    0}  {NAN, NAN, NO_ROOTS } 
{   2,   -6,    2}  {NAN, NAN, NO_ROOTS } 
{  -6,   -4,   -5}  {NAN, NAN, NO_ROOTS } 
{   3,    8,    7}  {NAN, NAN, NO_ROOTS } 
{   1,    2,   -4}  {NAN, NAN, NO_ROOTS } 
{   6,   -7,    2}  {NAN, NAN, NO_ROOTS } 
{   4,    6,    3}  {NAN, NAN, NO_ROOTS } 
{  -9,   -4,    9}  {NAN, NAN, NO_ROOTS } 
{   9,   -5,   -2}  {NAN, NAN, NO_ROOTS } 
{  -3,    2,   -6}  {NAN, NAN, NO_ROOTS } 
{  -6,    5,   -7}  {NAN, NAN, NO_ROOTS } 
{   6,    7,    6}  {NAN, NAN, NO_ROOTS } 
{  -7,   -8,   -8}  {NAN, NAN, NO_ROOTS } 
{   1,   -6,    1}  {NAN, NAN, NO_ROOTS } 
{  -8,    7,   -9}  {NAN, NAN, NO_ROOTS } 
{  -9,    3,   -4}  {NAN, NAN, NO_ROOTS } 
{   3,    3,   -5}  {NAN, NAN, NO_ROOTS } 
{  -3,    0,   -2}  {NAN, NAN, NO_ROOTS } 
{   1,   -8,    0}  {NAN, NAN, NO_ROOTS } 
{   6,    8,    6}  {NAN, NAN, NO_ROOTS } 
{  -2,    2,    4}  {NAN, NAN, NO_ROOTS } 
{   8,    7,   -9}  {NAN, NAN, NO_ROOTS } 
{  -3,   -2,    0}  {NAN, NAN, NO_ROOTS } 
{   4,   -3,    9}  {NAN, NAN, NO_ROOTS } 
{  -9,    7,    6}  {NAN, NAN, NO_ROOTS } 
{   7,    3,   -5}  {NAN, NAN, NO_ROOTS } 
{   9,   -4,    3}  {NAN, NAN, NO_ROOTS } 
{  -1,    4,   -4}  {NAN, NAN, NO_ROOTS } 
{   3,    6,    3}  {NAN, NAN, NO_ROOTS } 
{  -9,   -8,   -8}  {NAN, NAN, NO_ROOTS } 
{   4,    8,   -8}  {NAN, NAN, NO_ROOTS } 
{  -5,    1,   -1}  {NAN, NAN, NO_ROOTS } 
{   1,    8,    0}  {NAN, NAN, NO_ROOTS } 
{   8,   -9,   -7}  {NAN, NAN, NO_ROOTS } 
{  -3,   -7,    3}  {NAN, NAN, NO_ROOTS } 
{  -8,    3,    0}  {NAN, NAN, NO_ROOTS } 
{  -9,    1,    6}  {NAN, NAN, NO_ROOTS } 
{  -5,    0,    0}  {NAN, NAN, NO_ROOTS } 
{   6,    7,    9}  {NAN, NAN, NO_ROOTS } 
{   7,   -5,   -6}  {NAN, NAN, NO_ROOTS } 
{  -7,    4,    7}  {NAN, NAN, NO_ROOTS } 
{   7,    5,    0}  {NAN, NAN, NO_ROOTS } 
{  -9,   -9,   -8}  {NAN, NAN, NO_ROOTS } 
{  -3,   -8,    4}  {NAN, NAN, NO_ROOTS } 
{  -5,    7,    1}  {NAN, NAN, NO_ROOTS } 
{   5,    1,   -3}  {NAN, NAN, NO_ROOTS } 
{   7,   -7,    0}  {NAN, NAN, NO_ROOTS } 
{   5,    8,    9}  {NAN, NAN, NO_ROOTS } 
{  -3,    0,   -7}  {NAN, NAN, NO_ROOTS } 
{   2,    2,    3}  {NAN, NAN, NO_ROOTS } 
{   9,    3,   -7}  {NAN, NAN, NO_ROOTS } 
{   0,   -3,    9}  {NAN, NAN, NO_ROOTS } 
{  -8,   -6,   -2}  {NAN, NAN, NO_ROOTS } 
{  -7,   -1,   -5}  {NAN, NAN, NO_ROOTS } 
{   7,   -5,   -5}  {NAN, NAN, NO_ROOTS } 
{  -2,    5,   -5}  {NAN, NAN, NO_ROOTS } 
{   0,    8,    2}  {NAN, NAN, NO_ROOTS } 
{   4,    7,    2}  {NAN, NAN, NO_ROOTS } 
{   7,    6,   -6}  {NAN, NAN, NO_ROOTS } 
{  -7,   -3,    0}  {NAN, NAN, NO_ROOTS } 
{   0,   -1,    1}  {NAN, NAN, NO_ROOTS } 
{  -3,    7,    0}  {NAN, NAN, NO_ROOTS } 
{  -2,    4,   -5}  {NAN, NAN, NO_ROOTS } 
{  -9,   -2,   -7}  {NAN, NAN, NO_ROOTS } 
{  -8,    7,    6}  {NAN, NAN, NO_ROOTS } 
{   0,   -7,    3}  {NAN, NAN, NO_ROOTS } 
{  -2,    6,   -7}  {NAN, NAN, NO_ROOTS } 
{  -2,    3,   -6}  {NAN, NAN, NO_ROOTS } 
{   0,    8,    7}  {NAN, NAN, NO_ROOTS } 
{  -4,    9,   -4}  {NAN, NAN, NO_ROOTS } 
{  -2,    0,   -5}  {NAN, NAN, NO_ROOTS } 
{  -5,   -4,    6}  {NAN, NAN, NO_ROOTS } 
{   5,    9,    0}  {NAN, NAN, NO_ROOTS } 
{   8,    4,   -1}  {NAN, NAN, NO_ROOTS } 
{   9,   -7,    7}  {NAN, NAN, NO_ROOTS } 
{  -9,   -3,   -3}  {NAN, NAN, NO_ROOTS } 
{  -5,   -7,    0}  {NAN, NAN, NO_ROOTS } 
{   3,   -5,   -7}  {NAN, NAN, NO_ROOTS } 
{  -2,   -2,   -7}  {NAN, NAN, NO_ROOTS } 
{   5,    0,   -7}  {NAN, NAN, NO_ROOTS } 
{  -6,    5,    8}  {NAN, NAN, NO_ROOTS } 
{  -3,    3,    6}  {NAN, NAN, NO_ROOTS } 
{  -5,    0,    0}  {NAN, NAN, NO_ROOTS } 
{  -2,    1,    1}  {NAN, NAN, NO_ROOTS } 
{   8,   -5,    6}  {NAN, NAN, NO_ROOTS } 
{   0,    9,   -1}  {NAN, NAN, NO_ROOTS } 
{   7,   -7,    4}  {NAN, NAN, NO_ROOTS } 
{  -6,    3,    0}  {NAN, NAN, NO_ROOTS } 
{   2,    5,    0}  {NAN, NAN, NO_ROOTS } 
{   1,    7,    3}  {NAN, NAN, NO_ROOTS } 
{   9,   -1,    0}  {NAN, NAN, NO_ROOTS } 
{  -3,    7,    9}  {NAN, NAN, NO_ROOTS } 
{   0,   -5,   -6}  {NAN, NAN, NO_ROOTS } 
{  -5,    7,    3}  {NAN, NAN, NO_ROOTS } 
{   9,    8,    6}  {NAN, NAN, NO_ROOTS } 
{  -2,   -7,   -1}  {NAN, NAN, NO_ROOTS } 
{   2,    4,    2}  {NAN, NAN, NO_ROOTS } 
{  -6,   -3,    6}  {NAN, NAN, NO_ROOTS } 
{  -9,   -4,    3}  {NAN, NAN, NO_ROOTS } 
{   2,   -8,    4}  {NAN, NAN, NO_ROOTS } 
{   1,    4,   -9}  {NAN, NAN, NO_ROOTS } 
{   9,   -2,    9}  {NAN, NAN, NO_ROOTS } 
{  -7,   -6,   -1}  {NAN, NAN, NO_ROOTS } 
{  -2,   -9,    5}  {NAN, NAN, NO_ROOTS } 
{   0,   -8,   -7}  {NAN, NAN, NO_ROOTS } 
{  -4,    2,   -8}  {NAN, NAN, NO_ROOTS } 
{   0,    2,    9}  {NAN, NAN, NO_ROOTS } 
{   1,   -4,   -8}  {NAN, NAN, NO_ROOTS } 
{   6,   -9,    6}  {NAN, NAN, NO_ROOTS } 
{  -9,    4,    6}  {NAN, NAN, NO_ROOTS } 
{   0,    6,    3}  {NAN, NAN, NO_ROOTS } 
{   6,   -8,    1}  {NAN, NAN, NO_ROOTS } 
{   0,   -1,    1}  {NAN, NAN, NO_ROOTS } 
{  -7,    0,    3}  {NAN, NAN, NO_ROOTS } 
{   3,   -4,   -1}  {NAN, NAN, NO_ROOTS } 
{   0,   -3,   -5}  {NAN, NAN, NO_ROOTS } 
{   6,   -3,    0}  {NAN, NAN, NO_ROOTS } 
{  -1,    7,    0}  {NAN, NAN, NO_ROOTS } 
{  -7,    0,   -7}  {NAN, NAN, NO_ROOTS } 
{   1,   -8,    3}  {NAN, NAN, NO_ROOTS } 
{  -1,   -3,    2}  {NAN, NAN, NO_ROOTS } 
{  -9,    6,    0}  {NAN, NAN, NO_ROOTS } 
{  -4,    8,   -5}  {NAN, NAN, NO_ROOTS } 
{   9,    0,    0}  {NAN, NAN, NO_ROOTS } 
{  -6,    7,   -1}  {NAN, NAN, NO_ROOTS } 
{  -3,   -2,   -5}  {NAN, NAN, NO_ROOTS } 
{  -3,    9,    1}  {NAN, NAN, NO_ROOTS } 
{  -2,   -4,   -7}  {NAN, NAN, NO_ROOTS } 
{  -4,   -5,    1}  {NAN, NAN, NO_ROOTS } 
{  -3,   -9,   -4}  {NAN, NAN, NO_ROOTS } 
{   4,    1,   -9}  {NAN, NAN, NO_ROOTS } 
{   0,   -8,    0}  {NAN, NAN, NO_ROOTS } 
{  -6,   -6,   -8}  {NAN, NAN, NO_ROOTS } 
{  -4,    9,   -7}  {NAN, NAN, NO_ROOTS } 
{  -4,    8,   -7}  {NAN, NAN, NO_ROOTS } 
{   4,   -5,    8}  {NAN, NAN, NO_ROOTS } 
{   0,    5,    0}  {NAN, NAN, NO_ROOTS } 
{  -1,    5,    5}  {NAN, NAN, NO_ROOTS } 
{  -4,   -1,    4}  {NAN, NAN, NO_ROOTS } 
{  -5,   -4,    7}  {NAN, NAN, NO_ROOTS } 
{  -3,    3,    0}  {NAN, NAN, NO_ROOTS } 
{   6,    5,    5}  {NAN, NAN, NO_ROOTS } 
{   5,    9,   -7}  {NAN, NAN, NO_ROOTS } 
{  -7,   -4,   -9}  {NAN, NAN, NO_ROOTS } 
{   2,    0,   -5}  {NAN, NAN, NO_ROOTS } 
{   5,    5,   -8}  {NAN, NAN, NO_ROOTS } 
{   0,    0,    6}  {NAN, NAN, NO_ROOTS } 
{   0,    5,   -8}  {NAN, NAN, NO_ROOTS } 
{   4,    9,   -9}  {NAN, NAN, NO_ROOTS } 
{  -3,    1,    3}  {NAN, NAN, NO_ROOTS } 
{  -7,    8,   -1}  {NAN, NAN, NO_ROOTS } 
{  -2,    3,   -9}  {NAN, NAN, NO_ROOTS } 
{   5,   -4,    8}  {NAN, NAN, NO_ROOTS } 
{  -3,    3,    7}  {NAN, NAN, NO_ROOTS } 
{  -3,    9,    2}  {NAN, NAN, NO_ROOTS } 
{   1,   -6,   -8}  {NAN, NAN, NO_ROOTS } 
{   2,   -1,    2}  {NAN, NAN, NO_ROOTS } 
{   2,    5,    0}  {NAN, NAN, NO_ROOTS } 
{   8,    6,   -6}  {NAN, NAN, NO_ROOTS } 
{  -3,    1,   -9}  {NAN, NAN, NO_ROOTS } 
{  -1,   -5,   -4}  {NAN, NAN, NO_ROOTS } 
{   9,   -7,    5}  {NAN, NAN, NO_ROOTS } 
{   0,    0,    3}  {NAN, NAN, NO_ROOTS } 
{  -6,   -8,   -2}  {NAN, NAN, NO_ROOTS } 
{  -4,    4,   -2}  {NAN, NAN, NO_ROOTS } 
{   0,    1,   -2}  {NAN, NAN, NO_ROOTS } 
{   4,   -2,   -4}  {NAN, NAN, NO_ROOTS } 
{   3,   -3,   -8}  {NAN, NAN, NO_ROOTS } 
{  -7,    3,    5}  {NAN, NAN, NO_ROOTS } 
{  -1,   -5,    3}  {NAN, NAN, NO_ROOTS } 
{   8,    2,   -6}  {NAN, NAN, NO_ROOTS } 
{  -7,   -8,   -9}  {NAN, NAN, NO_ROOTS } 
{   4,    7,    7}  {NAN, NAN, NO_ROOTS } 
{   7,   -4,    8}  {NAN, NAN, NO_ROOTS } 
{  -5,    4,    0}  {NAN, NAN, NO_ROOTS } 
{  -5,   -7,    8}  {NAN, NAN, NO_ROOTS } 
{   3,    0,    1}  {NAN, NAN, NO_ROOTS } 
{  -8,    5,   -6}  {NAN, NAN, NO_ROOTS } 
{   8,   -2,    8}  {NAN, NAN, NO_ROOTS } 
{   0,    5,    0}  {NAN, NAN, NO_ROOTS } 
{  -9,    7,   -6}  {NAN, NAN, NO_ROOTS } 
{  -7,    4,    8}  {NAN, NAN, NO_ROOTS } 
{  -3,   -4,   -3}  {NAN, NAN, NO_ROOTS } 
{  -1,    0,   -6}  {NAN, NAN, NO_ROOTS } 
{   9,    6,   -9}  {NAN, NAN, NO_ROOTS } 
{   0,    0,    9}  {NAN, NAN, NO_ROOTS } 
{   8,   -2,   -9}  {NAN, NAN, NO_ROOTS } 
{  -2,    1,   -7}  {NAN, NAN, NO_ROOTS } 
{   2,   -9,   -2}  {NAN, NAN, NO_ROOTS } 
{   7,    1,    0}  {NAN, NAN, NO_ROOTS } 
{  -5,    9,    3}  {NAN, NAN, NO_ROOTS } 
{  -4,    9,    0}  {NAN, NAN, NO_ROOTS } 
{  -8,    1,    3}  {NAN, NAN, NO_ROOTS } 
{   2,    8,    1}  {NAN, NAN, NO_ROOTS } 
{   7,   -4,   -8}  {NAN, NAN, NO_ROOTS } 
{   9,    9,    5}  {NAN, NAN, NO_ROOTS } 
{   0,    9,    4}  {NAN, NAN, NO_ROOTS } 
{   8,   -1,    8}  {NAN, NAN, NO_ROOTS } 
{   3,    0,   -9}  {NAN, NAN, NO_ROOTS } 
{   0,   -9,   -2}  {NAN, NAN, NO_ROOTS } 
{  -8,   -5,    3}  {NAN, NAN, NO_ROOTS } 
{   5,    5,   -3}  {NAN, NAN, NO_ROOTS } 
{   1,   -3,   -1}  {NAN, NAN, NO_ROOTS } 
{   4,    4,   -2}  {NAN, NAN, NO_ROOTS } 
{  -3,   -3,    5}  {NAN, NAN, NO_ROOTS } 
{   2,    9,   -9}  {NAN, NAN, NO_ROOTS } 
{   5,    2,    2}  {NAN, NAN, NO_ROOTS } 
{  -3,    2,   -5}  {NAN, NAN, NO_ROOTS } 
{  -1,    8,    0}  {NAN, NAN, NO_ROOTS } 
{   5,    3,    4}  {NAN, NAN, NO_ROOTS } 
{   1,    7,   -4}  {NAN, NAN, NO_ROOTS } 
{   9,    4,   -1}  {NAN, NAN, NO_ROOTS } 
{  -2,   -8,   -1}  {NAN, NAN, NO_ROOTS } 
{  -1,    9,    9}  {NAN, NAN, NO_ROOTS } 
{   4,    1,   -9}  {NAN, NAN, NO_ROOTS } 
{   0,   -9,   -2}  {NAN, NAN, NO_ROOTS } 
{   9,   -2,   -8}  {NAN, NAN, NO_ROOTS } 
{  -5,   -5,   -1}  {NAN, NAN, NO_ROOTS } 
{   8,    5,    0}  {NAN, NAN, NO_ROOTS } 
{   6,    0,   -5}  {NAN, NAN, NO_ROOTS } 
{  -7,    8,   -7}  {NAN, NAN, NO_ROOTS } 
{  -8,   -2,   -9}  {NAN, NAN, NO_ROOTS } 
{  -8,    7,    9}  {NAN, NAN, NO_ROOTS } 
{   1,   -3,   -1}  {NAN, NAN, NO_ROOTS } 
{   6,    7,   -3}  {NAN, NAN, NO_ROOTS } 
{  -4,   -9,   -5}  {NAN, NAN, NO_ROOTS } 
{  -9,    4,   -3}  {NAN, NAN, NO_ROOTS } 
{  -7,    9,    8}  {NAN, NAN, NO_ROOTS } 
{  -8,    7,    2}  {NAN, NAN, NO_ROOTS } 
{   8,    3,    5}  {NAN, NAN, NO_ROOTS } 
{   5,    5,    5}  {NAN, NAN, NO_ROOTS } 
{  -8,   -8,    3}  {NAN, NAN, NO_ROOTS } 
{   4,   -7,   -1}  {NAN, NAN, NO_ROOTS } 
{   7,    0,    5}  {NAN, NAN, NO_ROOTS } 
{  -1,   -5,    7}  {NAN, NAN, NO_ROOTS } 
{   9,   -8,    2}  {NAN, NAN, NO_ROOTS } 
{  -3,    2,    8}  {NAN, NAN, NO_ROOTS } 
{  -7,    5,   -7}  {NAN, NAN, NO_ROOTS } 
{   4,    5,   -7}  {NAN, NAN, NO_ROOTS } 
{  -6,    3,   -2}  {NAN, NAN, NO_ROOTS } 
{   0,    2,   -8}  {NAN, NAN, NO_ROOTS } 
{  -1,   -5,    0}  {NAN, NAN, NO_ROOTS } 
{   8,   -5,    4}  {NAN, NAN, NO_ROOTS } 
{  -2,    2,    0}  {NAN, NAN, NO_ROOTS } 
